X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_GvHkH2Hk.Tumor.SM.AZ5HV,9.31,1.73,17.17,5,1.96,64.47,1.44,3.71,178.64,8.33,2.59,55.96,5.35,3.88,0.62,35.6,32.9,362.71,6.5,14.21,53.99,126.39,6.52,5.81,84.47,19.24,1.05,43.78,69.49,9.53,4.66,2.33,12.72,15.19,1.72,1.09,9.96,3.07,36.47,17.04,16.85,15.15,4.81,1.47,5.8,5.95,20.27,28.16,76.74,6.59
MBC.MBCProject_N4srsKsr.Tumor.SM.CGMGK,17.61,2.96,16.63,4.26,1.37,1.72,0.44,3.76,45,15.48,2.86,21.65,3.95,5.92,1.27,43.87,42.58,1601.3,2.78,18.66,65.03,186.25,21.72,10.93,245,6.86,1.74,26.96,156.5,18.64,1.58,7.35,50.05,8.52,4.6,7.09,6.04,6.8,12.66,11.26,6.03,15.85,50.67,3.16,4.51,6.42,143.63,93.74,32.38,6.68
MBC.MBCProject_N4srsKsr.Tumor.SM.CGLTK,21.17,1.04,4.65,8.52,4.9,0.17,4.46,5.79,2.61,18.29,6.36,4.7,9.74,3.79,1.59,39.84,26.58,1465.9,6.75,16.18,0.22,133.88,7.5,17.57,231.52,7.99,2.67,25.03,92,14.02,2.62,4.82,30.53,8.14,25.31,2.83,18.72,6.33,15.33,5.96,6.67,18.6,26.99,4.14,12.87,7.6,1.27,0,15.3,0.34
MBC.MBCProject_4MF1FlFQ.Tumor.SM.CGM4M,39.21,0.65,4.9,30.12,24.39,95.8,14.38,13.84,100.43,27.57,12.91,56.41,14.24,0.14,3.74,14.81,58.72,246.6,27.67,96.19,18.69,108.54,6.2,40.75,112.09,29.28,9.19,147.51,22.37,11.78,20.92,22.13,2.2,69.44,0.12,0.9,62.68,18.32,109.82,32.71,25.72,61.93,5.86,13.86,47.78,42.08,14.17,9.07,131.17,2.2
MBC.MBCProject_4MF1FlFQ.Tumor.SM.AZ5CU,12.43,4.46,17.56,16.65,11.38,7.27,5.9,4.79,116.12,43.25,3.85,15.7,8.14,2.82,3.06,24.24,46.21,202.42,13.98,43,133.7,110.83,6.18,22.85,114.99,126.87,4.66,61.1,37.9,8.65,10.47,6.15,20.06,27.09,0.7,10.57,42.95,9.54,40.33,6.2,12.41,32.74,9.42,4.45,15.19,24.17,184.96,114.9,43.33,3.6
MBC.MBCProject_wAiri7fp.Tumor.SM.AZ5DH,4.57,4.14,73.82,2.3,1.58,33.87,0.9,1.64,147.36,15.75,2.62,50.37,2.86,7.68,0.89,44.3,43.02,354.27,2.6,5.94,145.13,113.87,8.25,3.72,117.07,17.38,0.68,158.25,91.49,19.32,1.25,1.05,21.23,5.56,1.92,1.92,5.94,3.62,2.69,13.9,15.15,4.07,3.11,1.23,2.32,6.61,167.77,127.32,98.64,15.43
MBC.MBCProject_K7f6fdUz.Tumor.SM.AZ5MA,44.12,0.36,29.65,22.05,13.16,11.76,7.56,7.27,8.32,47.51,21.58,25.29,88.04,0.73,10.48,23.48,25.42,425.52,10.25,43.49,0.46,77.93,10.66,27.32,203.01,24.66,8.43,41.25,1129.3,108.51,13.32,11.56,12.11,42.86,4.92,108.79,27.01,26.42,18.97,11.14,3.7,93.85,10.72,18.26,30.34,33.28,0.21,0,44.7,0.38
MBC.MBCProject_3vhkhAcY.Tumor.SM.GQAW5,21.35,3.56,6.76,3.36,0.41,6.88,2.37,0.88,66.05,13.47,2.08,185.58,4.47,2.34,2.12,18.32,16.16,133.47,0.52,4.36,120.39,43.62,3.72,11.35,92.28,10.33,1.59,31.17,41.29,7.69,6.75,2.15,10.05,13.43,2.34,2.65,11.23,3.47,18.66,10.15,9.37,6.42,1.49,3.22,41.49,2.44,43.4,37.66,39.48,1.68
MBC.MBCProject_xBfJfri9.Tumor.SM.CGLAP,2.34,0.69,39.25,4.87,1.02,66.09,0.41,1.28,97.52,4.3,2.61,172.63,1.71,0.19,1.04,31.15,15.81,596.06,1.8,8.64,2.62,111.32,14.69,6.76,105.63,5.97,0.8,62.46,87.86,8.29,1.14,2,7.11,2.93,2.14,1.04,2.46,1.76,26.23,11.49,8.32,7.22,9.74,1.44,2.87,3.01,3.21,1.17,34.48,0.42
MBC.MBCProject_xBfJfri9.Tumor.SM.CGL4F,2.96,3.95,42,4.28,1.84,15.59,1.73,1.66,68.08,21.47,1.03,12.43,1.47,4.4,0.85,40.6,22.53,497.59,2.44,11.77,30.81,92.74,11.98,3.83,155.83,20.86,1.15,53.8,85.6,6.11,1.53,1.41,21.83,3.05,5.09,0.59,7.95,2.22,7.77,5.5,14.99,8.43,10.61,1.28,3.82,7.33,45.57,30.12,19.1,2.49
MBC.MBCProject_gKsRsqTR.Tumor.SM.AZ5J5,24.03,1.89,47.7,13.45,6.73,5.35,3.83,5.44,13.66,11.72,37.42,322.39,11.14,0.41,2.11,33.13,16.46,191.9,12.9,40.54,0.41,54.62,7.36,15.57,110.6,12.76,5.98,43.33,1110.9,271.56,9.86,9.81,25.44,21.53,2.68,2.08,19.72,6.8,14.42,12.06,3.97,34.44,6.58,8.13,21.04,8.59,1.43,0.11,15.06,0.55
MBC.MBCProject_QbiZiytx.Tumor.SM.CGM9N,6.76,2.58,13.22,7.45,2.17,32.97,1.36,2.25,161.74,10.83,2.86,170.58,4.87,4.31,1.33,65.69,30.2,438.56,2.23,8.69,32,143.67,10.54,6.37,151,7.7,1.43,171.47,88.62,8.91,2.58,1.16,13.3,4.28,1.87,0.91,5.06,3.65,132.54,18.49,12.68,16.17,11.88,4.37,3.9,7.41,45.98,25.56,76.55,2.9
MBC.MBCProject_QbiZiytx.Tumor.SM.CGMH7,20.48,1.58,26.14,8.26,5.16,11.79,3.4,1.96,71.53,15.62,5.01,129.89,11.87,0.37,3.56,48.12,30.9,607.23,7.48,23.23,3.01,144.47,18.06,11.09,189.16,3.93,3.39,62.11,98.62,6.68,7.13,3.8,17.03,14.41,0.73,0.69,15.88,8.66,136.87,19.47,5.29,29.96,12.94,6.22,12.49,9.96,470.04,349.8,55.48,0.77
MBC.MBCProject_VrsMsqTb.Tumor.SM.CGLRO,13.39,1.56,45.56,8.07,4.83,7.49,3.89,3.49,12.68,18.87,4.37,89.44,8.84,3.52,1.55,33.3,16.47,254.12,8.55,23.92,89.43,58.72,6.66,15.46,90.03,17.86,3.68,27.39,1933.8,224.99,7.77,4.61,15.5,14.13,3.86,60.64,18.7,5.7,5.86,10.73,3.93,27.97,5.09,6.69,15.54,7.81,96.54,68.6,15.42,4.55
MBC.MBCProject_57iLiJIl.Tumor.SM.CGLIV,26.38,0.37,17.86,5.14,4.09,43.3,4.05,7.9,78.75,45.9,6.74,13.19,9.85,0.01,2.41,38.23,49.79,795.4,3.38,28.91,0.27,183.08,16.32,25.39,189.41,3.53,4.22,625.01,68.26,7.81,4.97,8.78,1.41,21.49,1.85,2.37,21.57,5.67,80.68,20.36,8.24,27.95,31.86,8.32,17.43,6.03,0.22,0.72,29.42,0
MBC.MBCProject_K0UDUnFE.Tumor.SM.AZ5FD,2.04,3.71,25.48,0,1.59,0,0,0.01,0.33,0.56,0,0,3.42,0,5.03,14.8,3.44,236.17,7.84,5.27,28.5,8.42,1.71,4.75,55.03,0.45,0.01,3.48,779.87,3.46,4.52,0.12,6.63,3.73,3.68,6.53,1.54,11.39,0,0.31,0,12.45,4.66,3.24,0.06,3.26,97.98,15.42,0,0
MBC.MBCProject_RKf1frsr.Tumor.SM.CGLJI,42.29,19.8,94.48,21.53,19.16,0.22,27.11,21.87,9.01,44.51,14.49,27.66,30.16,15.2,11.5,47.79,23.78,12.49,20.92,86.1,17.13,3.94,25.19,60.83,157.87,34.95,10.88,17.28,57.7,5.34,20,16.33,17.88,36.31,0.1,2.55,38.54,24.09,2.4,4.59,6.05,67.68,4.11,24.58,21.78,38.52,6.63,3.44,0.74,27.24
MBC.MBCProject_yZSnSluK.Tumor.SM.DL4T3,22.16,2.42,3.63,7.74,2.26,9.69,1.4,3.27,3.83,5.35,4.08,12.25,3.33,4.68,0.53,14.61,19.35,566.33,3.36,28.25,5.87,46.26,1.28,14.02,100.46,7.85,2.49,201.67,35,3.09,10.08,9.26,8.48,13.77,0.09,1.63,15.51,3.65,5.68,6.67,5.21,5.81,9.25,1.66,23.36,6.32,9.82,10.29,13.32,3.68
MBC.MBCProject_wKuZuQS1.Tumor.SM.CGLW3,41.06,0.72,16.52,8.24,6.39,14.67,5.58,9.62,34.38,26.1,67.31,162.33,9.36,0.51,1.93,49.33,18.27,472.21,7.26,47.43,5.64,122.61,7.77,25.99,120.36,15.96,4.14,36.03,2015.5,307.74,6.82,9.81,6.28,24,0.81,3.05,16.82,10.14,2.35,24.4,4.24,31.37,8.53,13.59,23.97,9.6,5.99,2.13,49.27,1.03
MBC.MBCProject_O8u9SjuW.Tumor.SM.AZ5O6,19.78,0.86,2,10.05,5.67,6.73,3.01,4.53,86.18,10.14,6.98,151.35,6.28,0.13,0.83,23.79,9.99,196.03,4.73,14.38,0.68,43.1,3.1,16.64,114.03,12.75,4.66,259.75,28.99,5.36,5.2,4.39,3.85,13.13,0.09,1.04,14.5,4.52,7.22,12.39,6.18,21.84,3.88,3.11,9.71,9.37,0.59,0.14,23.87,1.26
MBC.MBCProject_gjhMuoha.Tumor.SM.AXGGJ,23,3.8,3.21,11.7,6.07,2.14,7.6,4.07,193.46,14.37,11.03,56.71,4.34,2.17,1.07,44.16,15.35,1005.8,4.01,44.49,15.07,93.4,9.76,33.19,221.61,24.77,6.63,98.81,126.66,18.55,8.14,19.19,13.65,9.03,0.26,1.14,26.89,18.45,132.12,9.62,12.19,33.35,29.54,12.19,11.29,20.26,10.92,11.61,98.32,4.88
MBC.MBCProject_qmu6TYto.Tumor.SM.DL3BW,9.57,2.78,20.57,3.36,1.56,51.77,1.29,2.55,83.88,8.28,0.98,30.13,1.74,9.09,0.87,51.84,26.44,478.57,2.45,6.96,50.13,68.08,10.6,8.11,134.69,7.07,0.9,55.4,74.23,7.26,3.14,1.77,15.83,4.8,7.26,1.31,8.86,3.02,22.12,12.1,7.43,7.51,6.57,2.21,2.03,4.28,68.13,73.55,38.01,13.54
MBC.MBCProject_qmu6TYto.Tumor.SM.GQA6Z,34.35,0.01,3.04,1.87,0.19,2.51,1.43,2.53,112.44,3.2,10.83,9.01,1.9,0.18,0.6,42.12,21.38,667.69,8.19,10.82,4.44,35.8,2.5,8.6,116.7,1.51,0,39.63,40.35,12.21,2.01,6.27,0.81,4.12,3.1,0.05,17.48,3.92,184.95,27.99,3.48,8.78,5.96,12.71,6.13,9.29,5.12,3.2,27.9,1.57
MBC.MBCProject_PzUBH7I3.Tumor.SM.CGLNW,16.69,9.16,1.4,6.99,5.94,8.67,2.41,3.15,66.7,6.89,10.44,39.46,8.57,1.53,2.87,34.93,17.96,359.22,5.14,19.02,15.28,53.09,13.83,20.01,195.81,4.98,2.81,155.56,74.04,8.34,5.99,3.2,22.45,24.29,1.98,5.68,19.64,6.83,37.97,14.13,9.93,31.71,9.63,5,9.27,10.26,21.91,2.69,9.39,1.62
MBC.MBCProject_7of5i3hp.Tumor.SM.CGMAA,42.43,2.57,22.54,9.91,22.74,1.19,4.12,9.86,39.58,37.69,19.09,21.27,17.73,1.13,2.27,18.06,25.41,185.22,18.7,67.91,48.28,33.2,13.29,32.99,158.31,34.72,11.9,31.96,86.36,11.19,20.06,7.84,85.46,45.94,16,9.29,52.9,19.93,7.84,11.39,5.37,65.92,17.83,31.04,31.11,16.98,31.78,24.4,5.55,0.83
MBC.MBCProject_VbfASefz.Tumor.SM.CGLVG,29.35,2.76,40.45,14.85,2.85,0.75,3.66,5.39,35.28,17.33,6.35,182.79,11.96,1.72,3.58,52.23,24.36,511.84,6.16,28.46,11.22,68.79,8,13.41,141.34,8.49,9.49,82.46,1258.1,242.14,5.2,5.92,13.68,23.72,4.44,15.93,33.31,8.07,8.13,16.43,4.2,64.3,11.48,9.45,28.12,5.28,5.67,6.37,6.6,1
MBC.MBCProject_4DIpSBFV.Tumor.SM.CGM2Q,23.97,2.77,73.54,4.37,3.37,1.01,2.21,5.87,3.68,13.5,5.94,299.25,6.09,1.04,5.17,36.73,18.76,243.46,22.4,20.77,12.56,38.64,8.88,7.38,108.58,12.8,4.49,16.97,1066.8,175.38,8.99,2.83,26.94,15.26,1.8,2.74,7.5,4.52,1.58,15.41,2.28,10.72,3.94,6.93,8.57,3.24,13.47,6.37,2.25,1.24
MBC.MBCProject_7JtRIPI2.Tumor.SM.CGLXC,18.36,1.81,4.98,6.69,2.47,41.72,0.35,4.32,142.6,29.96,5,63.74,6.33,4.78,3.92,55.72,45.42,1623.4,7.05,32.66,11.67,158.36,3.22,6.7,253.5,8.19,2.66,152.59,83.04,12.34,4.18,6,30.87,34.54,1.09,0.21,9.15,6.94,57.83,16.71,19.41,6.62,26.95,3.67,1.24,10.55,37,25.29,138.88,5.96
MBC.MBCProject_7JtRIPI2.Tumor.SM.CGMAW,26.76,2.32,7.51,12.63,3.31,39.65,3.57,3.54,55.35,21.27,7.53,59.78,10.96,2.68,6.17,60.48,41.8,644.84,5.39,32.48,10.02,113.48,7.2,14.29,217.94,49.43,3.38,238.74,135.34,27.75,7.12,12.53,11.57,25.88,0.99,0.46,17.27,9.33,95.42,8.88,7.28,33.87,15.34,7.27,9.44,8.15,8.92,3.65,91.91,0.68
MBC.MBCProject_gotjfgf0.Tumor.SM.AXGPS,41.44,0.38,14.72,12.26,13.04,22.69,15.94,7.62,51.86,16.21,75.76,182.58,17.99,0.15,2.45,49.65,21.37,170.92,22.26,49.25,8.2,52.67,9.49,44.62,104.19,16.16,13.6,31.67,354.29,36.73,18.62,7.33,5.72,30.01,0.84,5.05,37.04,22.04,102.22,13.67,6.1,59.46,5.76,14.18,28.78,21.82,2.51,4.34,71.52,2.27
MBC.MBCProject_gotjfgf0.Tumor.SM.CGL7K,46.46,2.59,4.16,26.8,22.96,36.5,39.87,19.43,78.28,26.32,149.12,5.35,34.71,0.08,4.69,49.86,30.09,165.69,26.65,48.7,0.46,87.03,14.7,73.07,182.66,5.56,13.05,77.97,380.68,70.48,20.02,24.9,5.6,47.97,1.89,10.69,66.81,56.73,53.63,8.26,9.07,149.24,37.11,45.07,60.88,38.08,0.3,0.11,60.22,0.37
MBC.MBCProject_nwIeUoSD.Tumor.SM.GQC2D,3.15,4.08,2.07,2.13,0.74,2.41,0.3,1.68,29.02,23.69,2.13,61.18,1.01,2.19,1.13,34.48,21.62,462.77,0.78,5.41,0.73,76.24,11.06,4.05,180.1,9.73,0.68,33.11,124,12.48,0.95,0.73,23.93,1.28,6.65,3.67,4.15,0.63,6.55,10.83,9.71,1.38,10.6,0.68,1.18,2.57,0.24,0.13,4.03,0.79
MBC.MBCProject_9JI1fwuX.Tumor.SM.DL4TP,27.96,3.55,52.68,11.02,10.27,9.69,4.86,6.92,18.07,30.72,23.86,18.45,13.78,3.27,4.32,53.47,24.27,277.75,12.89,38.16,60.66,72.71,5.76,13.03,143.26,17.33,9.36,70.87,471.92,100.71,11.37,8.31,11.58,27.06,4.99,2.92,26.97,9.5,56.4,13.3,7.76,46.01,11.03,6.25,23.39,8.33,27.86,9.48,18.9,1.04
MBC.MBCProject_ZdudUNFZ.Tumor.SM.CGLPS,5.42,0.51,1.62,12.46,3.23,7.61,2.59,17.38,360.66,10.83,7,68.59,4.39,0.33,1.28,58.03,22.53,706.95,4.33,19.72,1.11,114.69,12.01,23.12,134.52,5.91,1.81,94.02,89.81,13.33,3.59,3.56,7.87,7.47,0.23,0.39,15.23,10.58,116.52,19.96,6.3,17.43,15.67,7.07,11.17,8.87,34.52,26.54,47.17,0
MBC.MBCProject_1qhlIasw.Tumor.SM.AXGNH,10.27,0.34,2.66,7.39,2.45,9.58,0.27,4.19,26.81,3.79,1.76,197.44,3.04,1.13,0.23,40.96,8.28,187,3.38,14.95,23.14,29.27,2.34,21.54,51.75,6.77,3.67,21.5,47.87,3.22,2.74,4.68,3.37,7.28,0,0,8.45,3.4,18.59,6.79,8.73,13.6,0.83,3.19,7.16,8.67,14.63,11.9,9.31,1.77
MBC.MBCProject_3jhES9fq.Tumor.SM.AXGIU,1.99,0.38,2.29,2.29,1.74,28.78,0.22,1.8,46.47,2.76,0.94,1.42,4.71,1.13,0.36,21.3,25.81,417.16,1.29,5.24,0.06,27.01,4.12,2.82,74.58,7.16,0.89,159.96,47.01,5.31,1.02,1.8,5.26,2.46,1.18,5.78,6.57,0.97,19,5.09,5.32,5.04,11.95,0.64,2.3,2.57,0.47,0.03,8.58,0.66
MBC.MBCProject_4vC6Fgio.Tumor.SM.CGLZ8,10.64,6.83,37.29,15.6,9.87,9.04,6.13,5.62,31.08,11.48,11.35,142.12,7.22,5.72,1.44,40.08,30.33,527.41,7.13,40.1,141.95,47.7,9.53,16.89,247.3,30.04,3.14,776.58,85.79,14.53,6.27,13.53,31.66,8.95,0.82,2.12,23.7,5.49,52.18,25.79,6.32,21.92,9.27,6.44,15.78,20.62,148.37,81.32,33.01,3.63
MBC.MBCProject_4OIOfAt9.Tumor.SM.CGLYL,5.14,4.14,18.46,8.09,2.99,1.61,6.02,2.62,57.8,10.45,8.18,24.06,3.3,14.85,1.51,50.05,43.23,128.31,2.25,25.89,132.89,39.33,7.45,8.99,240.34,28.47,2.28,116.31,48.23,8.6,3.33,3.24,22.13,3.18,0.63,8.14,12.94,2.94,0.82,6.49,9.39,10.68,31.86,6.49,7.56,4.67,62.34,96.73,12.5,4.08
MBC.MBCProject_Jeu1F5cz.Tumor.SM.DL48Y,27.6,1.6,2.93,11.07,5.52,1.09,5.17,7.63,15.38,8.65,6.79,43.16,2.61,1.25,2.37,25.99,28.05,355.56,4.82,15.6,6.09,71.34,6.79,13.75,148.47,6.52,4.46,45.96,15.51,4.31,6.23,4.74,8.91,20.31,5.52,2.54,19.97,5.91,2.85,8.69,9.47,28.5,7,4.3,5.72,9.58,6.81,3.95,8.34,0.64
MBC.MBCProject_pktAIxFb.Tumor.SM.GQABE,4.73,1.25,4.03,2.95,1.5,4.81,2.42,1.87,164.17,6.79,6.67,43.14,2,1.75,1.22,35.49,15.3,890.88,2.06,5.22,7.35,140.17,9.82,10.16,345.59,14.5,1.49,255.68,340.18,72.25,1.48,1.34,4.84,3.75,2.37,4.09,3.3,1.82,159.09,16.31,15,2.96,21.07,1.54,4.9,3.41,6.74,5.79,37.06,0.75
MBC.MBCProject_pktAIxFb.Tumor.SM.DL43X,10.66,0.75,3.59,7.39,4.69,1.16,10.41,3.91,100.65,8.01,10.56,25.97,8.73,0.4,0.45,31.62,13.92,456.03,4.8,10.75,7.41,57.99,4.65,15.49,191.85,52.69,3.54,123.35,189.71,36.57,4.78,4.93,2.84,7.74,1.89,0.76,16.94,5.42,36.93,30.58,13.96,15.68,7.88,3.5,20.34,11.08,6.26,4.5,36.23,0.82
MBC.MBCProject_eXSVsxUm.Tumor.SM.GQC2Z,33.92,0.36,7.38,16.83,11.18,42.04,5.14,7.47,99.28,2.1,7.44,66.69,12.27,0.1,2.15,30.56,24.86,1425.4,12.74,142.46,3.14,132.87,14.12,41.19,171.1,30.53,7.05,80.87,262.85,48.4,12.43,21,12.59,37.67,4.13,3.88,21.14,15.8,6.35,18.96,6.87,36.4,15.9,26.15,26.32,18.01,3.09,0.86,142.72,0.6
MBC.MBCProject_eXSVsxUm.Tumor.SM.GQD1X,0.31,8.32,87.79,0,0.01,15.26,0.72,0.64,33.5,24.39,0.47,1.26,2.37,11.16,0.1,24.11,61.51,442.67,0.38,2.32,169.51,52.81,6.4,2.12,54.28,36.36,1.14,134.3,75.25,10.32,0,0,37.18,0.51,4.35,0.38,1.2,0.18,5.22,8.93,20.2,2.72,0.36,0.13,0,7.76,181.04,98.26,11.95,7.76
MBC.MBCProject_rMHPsbIq.Tumor.SM.DL422,10.54,1.27,1.31,5.93,2.38,9.16,2.5,1.87,87.32,6.17,5.02,166.13,2.7,0.38,1.59,37.11,17.47,675.97,3.74,19.91,0,70.13,5.94,15.4,182.94,7.28,2.05,54.39,59.8,3.25,4.68,3.43,6.78,9.26,1.67,0.69,14.48,2.82,91,17.01,4.58,12.04,5.76,2.75,10.79,2.94,0.25,0.02,62.16,0.6
MBC.MBCProject_KphMt4F9.Tumor.SM.DL4PB,24.15,0.54,1.46,13.45,9.37,8.92,10.54,5.6,172.36,14.56,11.57,29.19,16.84,0.18,1.64,40.86,17.89,713.86,9.15,33.64,0.04,95.25,9.39,19.99,201.46,16.84,5.01,133.43,66.31,7.28,5.85,8.65,3.21,25.76,0.54,4.09,26.59,4.8,31.7,15.24,6.03,46.06,16.22,6.59,20.47,13.16,1.31,0.08,22.85,2.34
MBC.MBCProject_zyt5TKFB.Tumor.SM.CGM59,32.61,3.89,17.07,14.53,5.3,12.59,2.9,5.25,37.04,7.91,8.65,283.98,6.99,3.37,2.41,31.42,20.12,271.49,11.87,43.31,15.72,64.6,9.53,9.16,135.57,25.09,5.26,38.02,1154.3,154.87,8.43,5.57,16,19.5,0.67,4.86,19.4,6.45,21.75,14.64,6.79,15.62,9.59,10.25,13.33,5.42,33.19,21.61,53.77,4.18
MBC.MBCProject_zyt5TKFB.Tumor.SM.CGMBJ,12.34,2.97,13.67,4.04,1.88,19.23,1.32,2.97,39.99,12,2.63,87.54,1.98,4.37,1.16,24,26.94,319.36,4.73,9.16,30.57,49.99,6.29,4.23,180.61,11.93,1.69,47.7,69.57,4.14,3.05,5.04,17.61,5.97,1.32,4.4,5.5,2.67,26.09,17.29,5.74,8.27,11.13,4.98,3.18,4.45,21.36,16.71,48.73,3.67
MBC.MBCProject_JGCBTpH1.Tumor.SM.CGLR2,19.32,0.93,7.73,7.86,5.76,28.86,3.29,4.89,140.04,4.2,7.25,89.67,4.61,0.63,1.82,50.84,34.5,151.24,7.66,27.5,4.29,35.87,12.81,14.76,246.9,9.85,4.68,146.7,36.18,10.31,10.34,5.45,5.87,7.15,1.68,0.3,21.96,7.85,12.68,13.39,9.39,41.1,5.5,7.55,10.65,15.08,8.46,3.47,32.11,1.37
